type;subtype;key;value;time
recipes;new-order;DEMO_ICE;4;0
recipes;new-order;TABLE;2;0
recipes;new-order;DEMO_ICE;3;0
recipes;new-order;TABLE;0;0
recipes;new-order;DEMO_ICE;10;0
recipes;new-order;TABLE;1;0
machine-event;add-materials;nails;24;0
machine-event;add-materials;wood;12;0
machine-event;add-materials;lego;34;0
machine-event;breakdown;QC_2;True;743
machine-event;breakdown;QC_2;False;829
machine-event;breakdown;CB;True;1563
machine-event;breakdown;CB;False;1675
machine-event;breakdown;WH;True;2385
machine-event;breakdown;WH;False;2472
machine-event;breakdown;ABB;True;3123
machine-event;breakdown;ABB;False;3241
recipes;new-order;DEMO_ICE;3;3600
machine-event;breakdown;KUKA;True;3969
machine-event;add-materials;lego;6;4050
machine-event;breakdown;KUKA;False;4071
machine-event;breakdown;MILL;True;4813
machine-event;breakdown;MILL;False;4914
recipes;new-order;TABLE;2;5125
machine-event;add-materials;nails;16;5575
machine-event;add-materials;wood;8;5575
machine-event;breakdown;CB;True;5664
machine-event;breakdown;CB;False;5780
machine-event;breakdown;WH;True;6408
machine-event;breakdown;WH;False;6480
machine-event;breakdown;QC_2;True;7152
machine-event;breakdown;QC_2;False;7233
recipes;new-order;DEMO_ICE;5;7253
recipes;new-order;TABLE;0;7286
machine-event;add-materials;lego;10;7703
machine-event;add-materials;nails;0;7736
machine-event;add-materials;wood;0;7736
machine-event;breakdown;ABB;True;7887
machine-event;breakdown;ABB;False;8006
recipes;new-order;DEMO_ICE;2;8445
machine-event;breakdown;ABB;True;8689
machine-event;breakdown;ABB;False;8771
machine-event;add-materials;lego;4;8895
machine-event;breakdown;ABB;True;9468
machine-event;breakdown;ABB;False;9541
recipes;new-order;TABLE;0;10251
machine-event;breakdown;KUKA;True;10350
machine-event;breakdown;KUKA;False;10432
machine-event;add-materials;nails;0;10701
machine-event;add-materials;wood;0;10701
machine-event;breakdown;QC_1;True;11221
machine-event;breakdown;QC_1;False;11303
recipes;new-order;DEMO_ICE;0;11527
recipes;new-order;TABLE;4;11830
machine-event;add-materials;lego;0;11977
machine-event;breakdown;QC_1;True;12001
machine-event;breakdown;QC_1;False;12089
machine-event;add-materials;nails;32;12280
machine-event;add-materials;wood;16;12280
machine-event;breakdown;QC_1;True;12737
machine-event;breakdown;QC_1;False;12812
recipes;new-order;DEMO_ICE;4;13320
machine-event;breakdown;CB;True;13560
machine-event;breakdown;CB;False;13633
machine-event;add-materials;lego;8;13770
machine-event;breakdown;QC_2;True;14334
machine-event;breakdown;QC_2;False;14400
machine-event;breakdown;KUKA;True;15178
machine-event;breakdown;KUKA;False;15295
machine-event;breakdown;QC_1;True;16074
machine-event;breakdown;QC_1;False;16170
machine-event;breakdown;QC_2;True;16878
machine-event;breakdown;QC_2;False;16968
machine-event;breakdown;QC_2;True;17750
machine-event;breakdown;QC_2;False;17820
machine-event;breakdown;MILL;True;18623
machine-event;breakdown;MILL;False;18743
machine-event;breakdown;CB;True;19368
machine-event;breakdown;CB;False;19473
