type;subtype;key;value;time
recipes;new-order;DEMO_ICE;4;0
recipes;new-order;TABLE;3;0
recipes;new-order;DEMO_ICE;9;0
recipes;new-order;TABLE;2;0
recipes;new-order;DEMO_ICE;1;0
recipes;new-order;TABLE;1;0
machine-event;add-materials;nails;48;0
machine-event;add-materials;wood;24;0
machine-event;add-materials;lego;28;0
machine-event;breakdown;WH;True;836
machine-event;breakdown;WH;False;929
machine-event;breakdown;ABB;True;1710
machine-event;breakdown;ABB;False;1786
machine-event;breakdown;WH;True;2479
machine-event;breakdown;WH;False;2544
machine-event;breakdown;MILL;True;3233
machine-event;breakdown;MILL;False;3307
recipes;new-order;DEMO_ICE;3;3600
machine-event;add-materials;lego;6;4050
machine-event;breakdown;MILL;True;4119
machine-event;breakdown;MILL;False;4227
machine-event;breakdown;QC_1;True;5011
machine-event;breakdown;QC_1;False;5117
recipes;new-order;TABLE;1;5569
machine-event;breakdown;QC_2;True;5827
machine-event;breakdown;QC_2;False;5927
machine-event;add-materials;nails;8;6019
machine-event;add-materials;wood;4;6019
machine-event;breakdown;MILL;True;6726
machine-event;breakdown;MILL;False;6804
machine-event;breakdown;WH;True;7617
machine-event;breakdown;WH;False;7679
recipes;new-order;DEMO_ICE;4;8210
machine-event;breakdown;QC_1;True;8385
machine-event;breakdown;QC_1;False;8501
machine-event;add-materials;lego;8;8660
machine-event;breakdown;ABB;True;9240
machine-event;breakdown;ABB;False;9310
machine-event;breakdown;ABB;True;10113
machine-event;breakdown;ABB;False;10184
machine-event;breakdown;KUKA;True;10888
machine-event;breakdown;KUKA;False;10996
recipes;new-order;TABLE;4;11264
machine-event;breakdown;MILL;True;11650
machine-event;add-materials;nails;32;11714
machine-event;add-materials;wood;16;11714
machine-event;breakdown;MILL;False;11724
machine-event;breakdown;QC_1;True;12485
machine-event;breakdown;QC_1;False;12546
machine-event;breakdown;ABB;True;13341
machine-event;breakdown;ABB;False;13401
machine-event;breakdown;QC_2;True;14121
machine-event;breakdown;QC_2;False;14228
recipes;new-order;DEMO_ICE;4;14408
recipes;new-order;TABLE;3;14608
machine-event;add-materials;lego;8;14858
machine-event;breakdown;KUKA;True;15020
machine-event;add-materials;nails;24;15058
machine-event;add-materials;wood;12;15058
recipes;new-order;DEMO_ICE;0;15097
machine-event;breakdown;KUKA;False;15101
machine-event;add-materials;lego;0;15547
recipes;new-order;TABLE;1;15772
machine-event;breakdown;KUKA;True;15893
machine-event;breakdown;KUKA;False;16001
machine-event;add-materials;nails;8;16222
machine-event;add-materials;wood;4;16222
machine-event;breakdown;KUKA;True;16727
machine-event;breakdown;KUKA;False;16847
machine-event;breakdown;QC_2;True;17606
machine-event;breakdown;QC_2;False;17695
machine-event;breakdown;ABB;True;18424
machine-event;breakdown;ABB;False;18486
machine-event;breakdown;MILL;True;19200
machine-event;breakdown;MILL;False;19312
machine-event;breakdown;WH;True;19939
machine-event;breakdown;WH;False;20019
machine-event;breakdown;KUKA;True;20703
machine-event;breakdown;KUKA;False;20807
machine-event;breakdown;QC_2;True;21578
machine-event;breakdown;QC_2;False;21642
machine-event;breakdown;QC_2;True;22457
machine-event;breakdown;QC_2;False;22539
machine-event;breakdown;WH;True;23203
machine-event;breakdown;WH;False;23301
